filename,width,height,class,xmin,ymin,xmax,ymax
40.jpg,640,480,Samir,75,234,268,427
48.jpg,640,480,Samir,158,117,412,371
18.jpg,640,480,Ramazan,210,214,441,445
2.jpg,640,480,Ramazan,212,201,434,423
25.jpg,640,480,Samir,153,115,493,454
7.jpg,640,480,Ramazan,219,206,441,428
37.jpg,640,480,Samir,123,78,483,438
30.jpg,640,480,Samir,121,72,487,438
33.jpg,640,480,Samir,71,223,290,442
20.jpg,640,480,Ramazan,216,194,447,425
32.jpg,640,480,Samir,137,214,341,418
23.jpg,640,480,Samir,133,99,412,378
14.jpg,640,480,Ramazan,251,200,483,432
35.jpg,640,480,Samir,113,107,456,450
31.jpg,640,480,Samir,178,122,437,381
22.jpg,640,480,Samir,138,77,492,431
36.jpg,640,480,Samir,122,73,490,441
28.jpg,640,480,Samir,180,105,440,365
24.jpg,640,480,Samir,118,108,417,407
3.jpg,640,480,Ramazan,213,194,435,416
10.jpg,640,480,Ramazan,215,204,439,428
12.jpg,640,480,Ramazan,305,195,537,427
21.jpg,640,480,Samir,152,111,477,436
9.jpg,640,480,Ramazan,259,215,482,438
15.jpg,640,480,Ramazan,183,209,446,472
5.jpg,640,480,Ramazan,214,194,436,416
34.jpg,640,480,Samir,46,167,308,429
38.jpg,640,480,Samir,75,207,283,415
17.jpg,640,480,Ramazan,213,210,444,441
43.jpg,640,480,Samir,135,42,550,456
11.jpg,640,480,Ramazan,218,194,442,418
6.jpg,640,480,Ramazan,196,193,418,415
29.jpg,640,480,Samir,131,102,414,385
1.jpg,640,480,Ramazan,209,193,439,423
4.jpg,640,480,Ramazan,213,210,435,432
47.jpg,640,480,Samir,87,230,282,425
19.jpg,640,480,Ramazan,211,197,442,428
13.jpg,640,480,Ramazan,217,203,449,435
26.jpg,640,480,Samir,132,78,493,439
42.jpg,640,480,Samir,161,109,464,412
27.jpg,640,480,Samir,180,182,426,428
41.jpg,640,480,Samir,163,111,424,372
39.jpg,640,480,Samir,94,111,438,455
16.jpg,640,480,Ramazan,214,198,445,429
46.jpg,640,480,Samir,126,182,345,401
8.jpg,640,480,Ramazan,222,186,444,408
44.jpg,640,480,Samir,138,72,504,438
45.jpg,640,480,Samir,184,193,403,412
